method,seed,domain,label_index,label_name,source_only_auroc,candidate_auroc,delta_auroc
topk_labelwise_trust_region_k1,31415,chexpert,3,edema,0.861845972957084,0.861845972957084,0.0
topk_labelwise_trust_region_k1,31415,chexpert,4,pleural_effusion,0.9043703637501117,0.9107158816694969,0.006345517919385202
topk_labelwise_trust_region_k1,31415,chexpert,5,pneumonia,0.8987831858407079,0.8987831858407079,0.0
topk_labelwise_trust_region_k1,31415,chexpert,6,pneumothorax,0.7793141592920354,0.786504424778761,0.007190265486725633
topk_labelwise_trust_region_k2,31415,nih,0,atelectasis,0.797664274658787,0.7626094533017286,-0.0350548213570584
topk_labelwise_trust_region_k2,31415,nih,1,cardiomegaly,0.8679439098370982,0.8609471756257813,-0.006996734211316968
topk_labelwise_trust_region_k2,31415,nih,2,consolidation,0.8085547868351461,0.7939848097839877,-0.014569977051158478
topk_labelwise_trust_region_k2,31415,nih,3,edema,0.9023303347553803,0.8677971741274613,-0.034533160627919
topk_labelwise_trust_region_k2,31415,nih,4,pleural_effusion,0.8659899876211452,0.8592659648022354,-0.006724022818909825
topk_labelwise_trust_region_k2,31415,nih,5,pneumonia,0.8137677484787018,0.7307483338162851,-0.08301941466241669
topk_labelwise_trust_region_k2,31415,nih,6,pneumothorax,0.8570518350615446,0.8255493343708239,-0.03150250069072069
topk_labelwise_trust_region_k2,31415,chexpert,0,atelectasis,0.861525974025974,0.8585227272727273,-0.003003246753246702
topk_labelwise_trust_region_k2,31415,chexpert,1,cardiomegaly,0.739280652019844,0.736888731396173,-0.0023919206236711066
topk_labelwise_trust_region_k2,31415,chexpert,2,consolidation,0.9050203527815468,0.9035127393336349,-0.0015076134479119485
topk_labelwise_trust_region_k2,31415,chexpert,3,edema,0.861845972957084,0.861845972957084,0.0
topk_labelwise_trust_region_k2,31415,chexpert,4,pleural_effusion,0.9043703637501117,0.9222450621145768,0.01787469836446509
topk_labelwise_trust_region_k2,31415,chexpert,5,pneumonia,0.8987831858407079,0.8893805309734513,-0.009402654867256666
topk_labelwise_trust_region_k2,31415,chexpert,6,pneumothorax,0.7793141592920354,0.8036504424778761,0.02433628318584069
tiny_logit_correction,31415,nih,0,atelectasis,0.797664274658787,0.797664274658787,0.0
tiny_logit_correction,31415,nih,1,cardiomegaly,0.8679439098370982,0.8679439098370982,0.0
tiny_logit_correction,31415,nih,2,consolidation,0.8085547868351461,0.8085547868351461,0.0
tiny_logit_correction,31415,nih,3,edema,0.9023303347553803,0.9023303347553803,0.0
tiny_logit_correction,31415,nih,4,pleural_effusion,0.8659899876211452,0.8659899876211452,0.0
tiny_logit_correction,31415,nih,5,pneumonia,0.8137677484787018,0.8137677484787018,0.0
tiny_logit_correction,31415,nih,6,pneumothorax,0.8570518350615446,0.8570518350615446,0.0
tiny_logit_correction,31415,chexpert,0,atelectasis,0.861525974025974,0.861525974025974,0.0
tiny_logit_correction,31415,chexpert,1,cardiomegaly,0.739280652019844,0.739280652019844,0.0
tiny_logit_correction,31415,chexpert,2,consolidation,0.9050203527815468,0.9050203527815468,0.0
tiny_logit_correction,31415,chexpert,3,edema,0.861845972957084,0.861845972957084,0.0
tiny_logit_correction,31415,chexpert,4,pleural_effusion,0.9043703637501117,0.9043703637501117,0.0
tiny_logit_correction,31415,chexpert,5,pneumonia,0.8987831858407079,0.8987831858407079,0.0
tiny_logit_correction,31415,chexpert,6,pneumothorax,0.7793141592920354,0.7793141592920354,0.0
